Order,State,GreaterThan12Est,12to17Est,18to25Est,18orOlderEst,26orOlderEst
1,Total U.S.,65982,1262,12955,64720,51765
2,Northeast,12679,238,2635,12441,9806
3,Midwest,15030,297,3046,14733,11687
4,South,23240,440,4352,22800,18448
5,West,15034,287,2923,14746,11824
6,Alabama,871,17,162,855,692
7,Alaska,142,3,27,139,112
8,Arizona,1337,26,250,1312,1062
9,Arkansas,482,11,100,472,372
10,California,7726,140,1513,7585,6073
11,Colorado,1253,24,239,1229,990
12,Connecticut,866,18,183,849,666
13,Delaware,182,3,36,179,143
14,District of Columbia,217,2,48,215,167
15,Florida,4370,72,697,4298,3601
16,Georgia,1757,30,347,1727,1380
17,Hawaii,237,4,44,233,189
18,Idaho,302,8,58,294,236
19,Illinois,2949,58,581,2892,2311
20,Indiana,1273,27,284,1246,962
21,Iowa,775,14,167,760,594
22,Kansas,620,15,129,605,476
23,Kentucky,805,20,159,784,626
24,Louisiana,1024,19,175,1005,830
25,Maine,272,5,50,267,217
26,Maryland,1199,21,241,1178,937
27,Massachusetts,1851,36,402,1815,1413
28,Michigan,2120,42,431,2078,1647
29,Minnesota,1219,22,257,1197,939
30,Mississippi,505,9,84,496,412
31,Missouri,1282,27,245,1255,1010
32,Montana,257,6,51,252,201
33,Nebraska,454,10,93,444,351
34,Nevada,585,12,90,572,483
35,New Hampshire,331,6,66,325,260
36,New Jersey,1836,38,359,1798,1439
37,New Mexico,421,9,73,412,339
38,New York,4201,77,917,4125,3208
39,North Carolina,1728,36,324,1691,1367
40,North Dakota,192,3,47,189,142
41,Ohio,2425,46,476,2379,1903
42,Oklahoma,707,16,142,691,549
43,Oregon,874,16,168,858,690
44,Pennsylvania,2909,51,565,2858,2294
45,Rhode Island,264,5,56,259,203
46,South Carolina,978,18,182,960,778
47,South Dakota,217,5,42,212,170
48,Tennessee,1140,25,205,1115,910
49,Texas,5302,104,1039,5198,4158
50,Utah,394,11,107,384,277
51,Vermont,148,3,37,145,109
52,Virginia,1641,30,342,1611,1268
53,Washington,1392,27,280,1365,1085
54,West Virginia,334,7,68,326,258
55,Wisconsin,1503,27,294,1476,1182
56,Wyoming,114,2,24,112,88
